gene,category,base_mean_count,dispersion_alpha,deseq2_base_mean,de_log2_fc,de_pvalue,fdr,disease_sex_log2_fc,disease_sex_pvalue,disease_sex_fdr,mean_count,de_significant,neg_log10_fdr,lightgbm_gain,gain_rank,nonzero_gain
G293,noise,106.0395211981762,0.18487401582264779,98.11000085414382,-0.007490691945556465,0.9172200274299059,0.9657209516041162,-0.18399985326763893,0.20086084671977522,0.8201535051288666,105.884375,False,0.015148346344181005,0.0,137,False
G294,noise,28.27852469757719,0.4182627133575709,26.425666647651248,0.043460885440880934,0.6942920791483413,0.8905696636826905,0.1690833387275743,0.44432064312466824,0.8860517402346516,28.625,False,0.050332102736797536,0.0,138,False
G295,noise,44.56075332793457,0.301971450836268,41.630739023475556,-0.09226851902573215,0.32105969080008856,0.7486989444578076,-0.04498552449349455,0.8089165320893374,0.9795069746063828,45.209375,False,0.12569277915521565,0.0,139,False
G296,noise,41.449537869250676,0.3171314919937056,40.19491989501379,-0.06882489584820319,0.4813464148697727,0.8437394053751762,-0.2845692142487702,0.1444368129199859,0.7854205743087944,43.225,False,0.07379166745393989,0.0,140,False
G297,noise,66.93693543801945,0.23445491552766992,59.846848305248784,-0.1317221506796078,0.09642174962295016,0.4821087481147508,0.0895214075904185,0.5720786809978258,0.9415239019129465,65.00625,False,0.3168549879455486,0.0,141,False
G298,noise,59.91951953934242,0.2502014713934866,53.938288728228805,0.056144545094528944,0.5101321056372409,0.8455994142356438,0.1345546560214841,0.42969290151868056,0.883901435600926,58.5375,False,0.07283532654537438,0.0,142,False
G299,noise,25.646267668442974,0.4509282565538475,22.866333667233853,-0.06172082964481029,0.5798920397450187,0.8795137428969753,0.29791791101159826,0.1806709060741004,0.8201535051288666,24.79375,False,0.05575737005792281,2.7462899684906006,40,True
G300,noise,59.68153310952106,0.25080041565762357,54.75639530292422,0.022712216804418015,0.7861571166991346,0.9117031201263728,0.08579872998291518,0.6083416667046022,0.949730333487275,59.696875,False,0.040146558909566754,0.0,143,False
G301,noise,23.839678238565643,0.4775218738246486,22.37388364104139,-0.0882142531905291,0.44915350001886944,0.8340294915545284,-0.27304619163328403,0.24074955767151407,0.8201535051288666,24.11875,False,0.0788185922963813,1.6677019596099854,49,True
G302,noise,52.97197899836613,0.2699011471758983,48.45614435922526,0.009020203495921144,0.9131985569813132,0.9657209516041162,-0.14972228509599456,0.3652404027086186,0.8732866983346651,52.26875,False,0.015148346344181005,0.0,144,False
G303,noise,68.5785765054085,0.2312363198336467,65.91789857962638,-0.07551025741362313,0.34109550115539355,0.7553034183806012,0.026327918409252225,0.8682276507636746,0.9915857195058293,71.653125,False,0.12187854975209417,0.0,145,False
G304,noise,49.20309756706222,0.2829153131616011,44.27372380503207,-0.3136561104900887,0.0006773298208645138,0.007945599821679873,-0.2743997581955898,0.13603437136019525,0.7854205743087944,48.43125,True,2.0998733118722384,4.313270092010498,33,True
G000,redundant_de,56.90299258754956,0.15544260902919202,69.41151075463576,0.6148132848644465,1.1932767994055444e-12,1.455797695274764e-11,0.3516768655644734,0.041028163880919365,0.7442666145038506,78.178125,True,10.836898972502558,1.8853800296783447,45,True
G001,redundant_de,101.78731539585446,0.10894644118145555,123.65289967764181,0.6303891848662634,7.362668048861307e-18,2.4946230971737854e-16,0.08128986470050736,0.5788122835540588,0.9440521202352297,137.5875,True,15.602995060935347,0.0,258,False
G002,redundant_de,71.0697430330253,0.1344241127650042,87.68148771698354,0.5478850599523615,4.675684724577288e-13,5.9420160041503035e-12,0.11901515494946506,0.4318075865722557,0.883901435600926,97.925,True,11.226066182807548,68.56890803575516,8,True
G003,redundant_de,120.09787781756339,0.09995925081302766,148.3643854033465,0.6324749469054108,9.41820682285938e-20,7.181382702430277e-18,0.0807406580717675,0.5615005653384055,0.9358342755640092,164.278125,True,17.143791928707312,116.67571830749512,6,True
G004,redundant_de,78.80352670512173,0.12613872438033968,99.39252118015989,0.6367817505142862,1.5252096554567846e-14,2.215185451972949e-13,0.12469110818585755,0.45158423643596446,0.8914526937116752,111.45625,True,12.654589909442247,0.0,214,False
G005,redundant_de,155.77799984728978,0.08851635022841378,195.58635322806538,0.5691080233890267,2.992700403408234e-16,5.704835143996946e-15,0.13570639251432032,0.32932191126414445,0.8555733005205621,218.16875,True,14.243756901129535,1.34211003780365,52,True
G006,redundant_de,83.83686421304026,0.12156756226894685,104.53621285600858,0.5898826693514105,6.457307922629992e-15,9.847394582010737e-14,0.17099356030799093,0.2579203553019688,0.8201535051288666,116.178125,True,13.006678659688262,0.0,215,False
G007,redundant_de,115.67785367691062,0.10186818227763855,141.4249154955534,0.6555725817262189,3.867128271349516e-23,1.1794741227616023e-20,0.1289639878365953,0.3293510818633567,0.8555733005205621,158.828125,True,19.92831158293873,87.08237075805664,7,True
G008,redundant_de,57.19143874707555,0.15491080713206934,74.11035865408493,0.7825078116251349,1.1048398289103485e-22,1.6848807390882814e-20,0.19134109788647186,0.2300142407715705,0.8201535051288666,82.95625,True,19.773430834370625,21.342012863606215,18,True
G009,redundant_de,114.90807463426854,0.1022156516771942,141.57308906735307,0.6631498502599794,8.179092121881263e-18,2.4946230971737854e-16,0.12274064363065355,0.42600536555148505,0.883901435600926,160.0125,True,15.602995060935347,0.0,216,False
G010,redundant_de,113.6395216138574,0.10279853271811336,145.23256645577572,0.6786578298402486,1.1878678124248473e-19,7.245993655791569e-18,0.06516866591027853,0.663242140544921,0.949730333487275,163.071875,True,17.13990205054657,0.0,217,False
G011,redundant_de,101.44332536257342,0.10914632607473301,124.93684103720236,0.5733404922891503,6.079181848756244e-16,1.0300835910392523e-14,0.08329775047680446,0.5568435200756736,0.9358342755640092,139.746875,True,13.987127530970508,0.0,218,False
G012,redundant_de,85.89820133038786,0.11985012383347082,104.58749028258667,0.6587986341592224,1.1281320291000682e-17,3.1280024443229164e-16,0.12804860813403274,0.40519747883843393,0.8827516503265881,117.228125,True,15.504732916240213,0.0,219,False
G013,redundant_de,59.353710409213406,0.1510888781616697,74.40930909172553,0.7119200993683571,7.200552822058406e-19,3.1373837296111625e-17,0.11751374415115837,0.4638890694130059,0.8914526937116752,82.690625,True,16.50343236002053,20.854649543762207,19,True
G014,redundant_de,75.6536581043974,0.1293087888984875,96.79716271075078,0.6070310761194686,3.470688150513076e-15,5.5713678205604646e-14,0.07190318769071485,0.6410628182604157,0.949730333487275,107.934375,True,13.254038168561461,24.06577968597412,17,True
G015,redundant_de,75.75911065006457,0.12919839539450673,93.02112486330269,0.6204307170360125,1.2267669252505038e-16,2.494426081342691e-15,0.16346000644743172,0.2747375326973258,0.8281508083405392,103.253125,True,14.603029361213927,0.0,220,False
